0 memory
1 0.001
2 0.002
3 0.001
4 0.001
5 0.001
6 0.001
7 0.001
8 0.001
9 0.001
10 0.0000
11 0.274
12 0.002
13 0.001
14 0.008
15 0.001
16 0.001
17 0.001
18 0.010
19 0.003
20 0.006
21 0.055
22 0.024
23 0.003
24 0.001
25 4.465
26 0.001
27 0.002
28 0.001
29 0.001
30 0.001
31 0.002
32 0.001
33 0.001
34 0.0000
35 0.001
36 0.0000
37 0.0000
38 0.001
39 0.0000
40 0.001
41 0.0000
42 0.0000
43 0.001
44 0.001
45 0.0000
46 0.001
47 0.001
48 0.001
49 0.001
50 0.003
51 0.002
52 0.002
53 0.001
54 0.003
55 0.001
56 0.008
57 0.002
58 0.003
59 0.003
60 0.001
61 0.0000
62 0.0000
